N_Oficial,Nombre_est,latitude,longitude,geometry,N_DinaguaW,N_UTEWSH,N_UTEWSP,Institucio,Tipo_estac,Parametros,Resolucion,wflow_basi,wflow_outp,WHOS_siteC
INUMET-1415,Chamizo (TP),-34.139,-56.691,POINT (-56.691 -34.139),INUMET-1415,,,INUMET,Automatica,P,5 min,,,
INUMET-1530,Chapicuy (TP),-31.658,-57.89,POINT (-57.89 -31.658),INUMET-1530,,,INUMET,Automatica,P,5 min,,,
INUMET-1569,Clara (TP),-32.224,-55.732,POINT (-55.732 -32.224),INUMET-1569,,,INUMET,Automatica,P,5 min,,,
INUMET-1402,Colonia (TP),-34.452,-57.768,POINT (-57.768 -34.452),INUMET-1402,,,INUMET,Automatica,P,5 min,,,
INUMET-1428,Colonia Manuel Victoria (TP),-33.725,-57.533,POINT (-57.533 -33.725),INUMET-1428,,,INUMET,Automatica,P,5 min,,,
INUMET-1391,Colonia Migulete (TP),-34.005,-57.645,POINT (-57.645 -34.005),INUMET-1391,,,INUMET,Automatica,P,5 min,,,
INUMET-1441,Colonia Rosell y Rius (TP),-33.184,-55.697,POINT (-55.697 -33.184),INUMET-1441,,,INUMET,Automatica,P,5 min,,,
INUMET-1536,Corrales (TP),-31.573,-55.474,POINT (-55.474 -31.573),INUMET-1536,,,INUMET,Automatica,P,5 min,,,
INUMET-1426,Cuchilla Caraguatá Sur (TP),-32.245,-54.993,POINT (-54.993 -32.245),INUMET-1426,,,INUMET,Automatica,P,5 min,,,
INUMET-1433,Cuchilla de Dionisio (TP),-32.872,-54.285,POINT (-54.285 -32.872),INUMET-1433,,,INUMET,Automatica,P,5 min,,,
INUMET-1434,Cuchilla del Carmen (TP),-32.72,-55.033,POINT (-55.033 -32.72),INUMET-1434,,,INUMET,Automatica,P,5 min,,,
INUMET-1427,Cuchilla del Ombú (TP),-31.761,-55.698,POINT (-55.698 -31.761),INUMET-1427,,,INUMET,Automatica,P,5 min,,,
INUMET-1396,Curtina (TP),-32.146,-56.113,POINT (-56.113 -32.146),INUMET-1396,,,INUMET,Automatica,P,5 min,,,
INUMET-1432,Dolores (TP),-33.551,-58.205,POINT (-58.205 -33.551),INUMET-1432,,,INUMET,Automatica,P,5 min,,,
INUMET-1376,El Águila (TP),-33.04,-57.275,POINT (-57.275 -33.04),INUMET-1376,,,INUMET,Automatica,P,5 min,,,
INUMET-1397,El Cerro (TP),-33.99,-58.257,POINT (-58.257 -33.99),INUMET-1397,,,INUMET,Automatica,P,5 min,,,
INUMET-1533,El Eucaliptus (TP),-31.902,-57.263,POINT (-57.263 -31.902),INUMET-1533,,,INUMET,Automatica,P,5 min,,,
INUMET-1380,El Tala (TP),-33.218,-57.421,POINT (-57.421 -33.218),INUMET-1380,,,INUMET,Automatica,P,5 min,,,
INUMET-1424,Florida (TP),-34.088,-56.187,POINT (-56.187 -34.088),INUMET-1424,,,INUMET,Automatica,P,5 min,,,
INUMET-1401,Fraile Muerto (TP),-32.512,-54.524,POINT (-54.524 -32.512),INUMET-1401,,,INUMET,Automatica,P,5 min,,,
INUMET-1413,Garzón (TP),-34.591,-54.547,POINT (-54.547 -34.591),INUMET-1413,,,INUMET,Automatica,P,5 min,,,
INUMET-1532,Guichon (TP),-32.356,-57.2,POINT (-57.2 -32.356),INUMET-1532,,,INUMET,Automatica,P,5 min,,,
INUMET-1566,Illescas (TP),-33.608,-55.327,POINT (-55.327 -33.608),INUMET-1566,,,INUMET,Automatica,P,5 min,,,
INUMET-1435,Isla Patrulla (TP),-32.996,-54.563,POINT (-54.563 -32.996),INUMET-1435,,,INUMET,Automatica,P,5 min,,,
INUMET-1392,Ismael Cortinas (TP),-33.959,-57.087,POINT (-57.087 -33.959),INUMET-1392,,,INUMET,Automatica,P,5 min,,,
INUMET-1414,Kiyú (TP),-34.696,-56.749,POINT (-56.749 -34.696),INUMET-1414,,,INUMET,Automatica,P,5 min,,,
INUMET-1638,La Calera (TP),-34.2246,-55.2958,POINT (-55.2958 -34.2246),INUMET-1638,,,INUMET,Automatica,P,5 min,,,
INUMET-1524,La Colmena (TP),-34.379,-54.502,POINT (-54.502 -34.379),INUMET-1524,,,INUMET,Automatica,P,5 min,,,
INUMET-1390,La Cruz (TP),-33.929,-56.237,POINT (-56.237 -33.929),INUMET-1390,,,INUMET,Automatica,P,5 min,,,
INUMET-1431,La Hilera (TP),-32.078,-55.66,POINT (-55.66 -32.078),INUMET-1431,,,INUMET,Automatica,P,5 min,,,
INUMET-1386,La Paloma (TP),-34.658,-54.16,POINT (-54.16 -34.658),INUMET-1386,,,INUMET,Automatica,P,5 min,,,
INUMET-1443,Laguna Merin (TP),-32.741,-53.264,POINT (-53.264 -32.741),INUMET-1443,,,INUMET,Automatica,P,5 min,,,
INUMET-1568,Lascano (TP),-33.678,-54.208,POINT (-54.208 -33.678),INUMET-1568,,,INUMET,Automatica,P,5 min,,,
INUMET-1406,Marincho (TP),-33.315,-57.069,POINT (-57.069 -33.315),INUMET-1406,,,INUMET,Automatica,P,5 min,,,
INUMET-1421,Mariscala (TP),-34.044,-54.781,POINT (-54.781 -34.044),INUMET-1421,,,INUMET,Automatica,P,5 min,,,
